id,sid,name,lastupdate,totalshare,top10total,floatshare,top10float,list,weight,firstlevel,secondlevel,note,ext1,ext2,location,valid
1634,sh600008,首创股份,"2015-02-19 00:00:00",219966,64,220000,64,"750,1500,3000",1.5,公用事业,燃气水务,NULL,NULL,NULL,北京市,1
1635,sh600009,上海机场,"2015-02-19 00:00:00",192738,36,109344,64,"750,1500,3000",1.5,交通运输,机场航运,NULL,NULL,NULL,上海市,1
1638,sh600012,皖通高速,"2015-02-19 00:00:00",251907,57,251907,57,"750,1500,3000",1.5,交通运输,公路铁路运输,NULL,NULL,NULL,安徽省,1
1641,sh600017,日照港,"2015-02-19 00:00:00",307611,61,263091,64,"750,1500,3000",1.5,交通运输,港口航运,NULL,NULL,NULL,山东省,1
1644,sh600020,中原高速,"2015-02-19 00:00:00",224716,66,224716,66,"750,1500,3000",1.5,交通运输,公路铁路运输,NULL,NULL,NULL,河南省,1
1645,sh600021,上海电力,"2015-02-19 00:00:00",213969,72,213969,72,"750,1500,3000",1.5,公用事业,电力,NULL,NULL,NULL,上海市,1
1654,sh600033,福建高速,"2015-02-19 00:00:00",274490,59,274490,59,"750,1500,3000",1.5,交通运输,公路铁路运输,NULL,NULL,NULL,福建省,1
1655,sh600035,楚天高速,"2015-02-19 00:00:00",121105,66,121105,66,"750,1500,3000",1.5,交通运输,公路铁路运输,NULL,NULL,NULL,湖北省,1
1657,sh600037,歌华有线,"2015-02-19 00:00:00",106409,54,106409,54,"750,1500,3000",1.5,信息服务,通信服务,NULL,NULL,NULL,北京市,1
1659,sh600039,四川路桥,"2015-02-19 00:00:00",150983,42,54748,71,"750,1500,3000",1.5,建筑材料,建筑装饰,NULL,NULL,NULL,四川省,1
1667,sh600056,中国医药,"2015-02-19 00:00:00",101276,61,88457,63,"750,1500,3000",1.5,医药生物,医药商业,NULL,NULL,NULL,北京市,1
1669,sh600058,五矿发展,"2015-02-19 00:00:00",107232,64,107232,64,"750,1500,3000",1.5,商业贸易,贸易,NULL,NULL,NULL,北京市,1
1671,sh600060,海信电器,"2015-02-19 00:00:00",130869,50,130869,50,"750,1500,3000",1.5,家用电器,视听器材,NULL,NULL,NULL,山东省,1
1674,sh600063,皖维高新,"2015-02-19 00:00:00",149835,34,149835,34,"750,1500,3000",1.5,化工,化工合成材料,NULL,NULL,NULL,安徽省,1
1676,sh600066,宇通客车,"2015-02-19 00:00:00",127052,46,124456,45,"750,1500,3000",1.5,交运设备,汽车整车,NULL,NULL,NULL,河南省,1
1677,sh600067,冠城大通,"2015-02-19 00:00:00",119048,44,119048,44,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,福建省,1
1678,sh600068,葛洲坝,"2015-02-19 00:00:00",460372,48,348617,58,"750,1500,3000",1.5,建筑材料,建筑装饰,NULL,NULL,NULL,湖北省,1
1687,sh600077,宋都股份,"2015-02-19 00:00:00",109104,37,48648,72,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,浙江省,1
1695,sh600085,同仁堂,"2015-02-19 00:00:00",131118,64,131118,64,"750,1500,3000",1.5,医药生物,中药,NULL,NULL,NULL,北京市,1
1698,sh600089,特变电工,"2015-02-19 00:00:00",324213,26,316573,26,"750,1500,3000",1.5,机械设备,电气设备,NULL,NULL,NULL,新疆维吾尔自治区,1
1702,sh600094,大名城,"2015-02-19 00:00:00",201170,27,39823,78,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,上海市,1
1704,sh600096,云天化,"2015-02-19 00:00:00",112895,39,52143,71,"750,1500,3000",1.5,化工,化学制品,NULL,NULL,NULL,云南省,1
1706,sh600098,广州发展,"2015-02-19 00:00:00",272608,80,243741,82,"750,1500,3000",1.5,公用事业,电力,NULL,NULL,NULL,广东省,1
1708,sh600100,同方股份,"2015-02-19 00:00:00",219764,32,207162,34,"750,1500,3000",1.5,信息设备,计算机设备,NULL,NULL,NULL,北京市,1
1710,sh600103,青山纸业,"2015-02-19 00:00:00",106242,29,106242,29,"750,1500,3000",1.5,轻工制造,造纸,NULL,NULL,NULL,福建省,1
1715,sh600108,亚盛集团,"2015-02-19 00:00:00",194652,30,194652,30,"750,1500,3000",1.5,农林牧渔,种植业与林业,NULL,NULL,NULL,甘肃省,1
1716,sh600109,国金证券,"2015-02-19 00:00:00",129368,48,129368,48,"750,1500,3000",1.5,金融服务,证券,NULL,NULL,NULL,四川省,1
1717,sh600110,中科英华,"2015-02-19 00:00:00",114981,18,114981,18,"750,1500,3000",1.5,机械设备,电气设备,NULL,NULL,NULL,吉林省,1
1718,sh600111,北方稀土,"2015-02-19 00:00:00",242090,20,147972,51,"750,1500,3000",1.5,有色金属,有色冶炼加工,NULL,NULL,NULL,内蒙古自治区,1
1725,sh600118,中国卫星,"2015-02-19 00:00:00",118270,60,118270,60,"750,1500,3000",1.5,国防军工,国防军工,NULL,NULL,NULL,北京市,1
1728,sh600121,郑州煤电,"2015-02-19 00:00:00",101546,54,62919,71,"750,1500,3000",1.5,采掘,煤炭开采,NULL,NULL,NULL,河南省,1
1729,sh600122,宏图高科,"2015-02-19 00:00:00",114146,38,113273,38,"750,1500,3000",1.5,商业贸易,零售,NULL,NULL,NULL,江苏省,1
1730,sh600123,兰花科创,"2015-02-19 00:00:00",114226,48,114226,48,"750,1500,3000",1.5,采掘,煤炭开采,NULL,NULL,NULL,山西省,1
1731,sh600125,铁龙物流,"2015-02-19 00:00:00",130515,37,130515,37,"750,1500,3000",1.5,交通运输,公路铁路运输,NULL,NULL,NULL,辽宁省,1
1746,sh600143,金发科技,"2015-02-19 00:00:00",256015,48,256015,48,"750,1500,3000",1.5,化工,化工合成材料,NULL,NULL,NULL,广东省,1
1751,sh600150,中国船舶,"2015-02-19 00:00:00",137776,70,137776,70,"750,1500,3000",1.5,国防军工,国防军工,NULL,NULL,NULL,上海市,1
1752,sh600151,航天机电,"2015-02-19 00:00:00",125061,44,120461,46,"750,1500,3000",1.5,机械设备,电气设备,NULL,NULL,NULL,上海市,1
1754,sh600153,建发股份,"2015-02-19 00:00:00",283538,57,283509,45,"750,1500,3000",1.5,交通运输,物流,NULL,NULL,NULL,福建省,1
1757,sh600157,永泰能源,"2015-02-19 00:00:00",353590,34,301131,44,"750,1500,3000",1.5,采掘,煤炭开采,NULL,NULL,NULL,山西省,1
1760,sh600160,巨化股份,"2015-02-19 00:00:00",181065,64,181065,64,"750,1500,3000",1.5,化工,化学制品,NULL,NULL,NULL,浙江省,1
1765,sh600166,福田汽车,"2015-02-19 00:00:00",281060,53,253725,57,"750,1500,3000",1.5,交运设备,汽车整车,NULL,NULL,NULL,北京市,1
1768,sh600169,太原重工,"2015-02-19 00:00:00",242284,41,242284,41,"750,1500,3000",1.5,机械设备,专用设备,NULL,NULL,NULL,山西省,1
1769,sh600170,上海建工,"2015-02-19 00:00:00",360809,15,109866,74,"750,1500,3000",1.5,建筑材料,建筑装饰,NULL,NULL,NULL,上海市,1
1773,sh600175,美都能源,"2015-02-19 00:00:00",245597,39,144044,58,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,浙江省,1
1775,sh600177,雅戈尔,"2015-02-19 00:00:00",222582,41,222582,41,"750,1500,3000",1.5,纺织服装,服装家纺,NULL,NULL,NULL,浙江省,1
1780,sh600183,生益科技,"2015-02-19 00:00:00",142350,49,142321,49,"750,1500,3000",1.5,电子,半导体及元件,NULL,NULL,NULL,广东省,1
1783,sh600186,莲花味精,"2015-02-19 00:00:00",106310,32,106277,32,"750,1500,3000",1.5,食品饮料,食品加工制造,NULL,NULL,NULL,河南省,1
1784,sh600187,国中水务,"2015-02-19 00:00:00",145593,35,145593,35,"750,1500,3000",1.5,公用事业,燃气水务,NULL,NULL,NULL,黑龙江省,1
1785,sh600188,兖州煤业,"2015-02-19 00:00:00",491872,93,491872,93,"750,1500,3000",1.5,采掘,煤炭开采,NULL,NULL,NULL,山东省,1
